neu,neurons,test_accuracy
2,4,0.113499999
2,16,0.113499999
4,2,0.113499999
8,2,0.113499999
8,4,0.113499999
16,2,0.113499999
32,2,0.113499999
64,2,0.113499999
64,4,0.113499999
128,4,0.113499999
256,2,0.113499999
256,4,0.113499999
256,8,0.113499999
512,2,0.113499999
512,4,0.113499999
512,16,0.113499999
1024,2,0.113499999
1024,4,0.113499999
1024,8,0.113499999
1024,16,0.113499999
2048,2,0.113499999
2048,4,0.113499999
2048,8,0.113499999
2048,16,0.113499999
2048,32,0.113499999
4096,2,0.113499999
4096,4,0.113499999
4096,8,0.113499999
4096,16,0.113499999
4096,32,0.113499999
4096,64,0.113499999
64,8,0.194600001
128,8,0.268700004
512,8,0.314300001
2,8,0.323500007
4,4,0.364399999
2,2048,0.371100008
128,2,0.385500014
1024,32,0.40259999
4,128,0.414900005
8,16,0.454699993
4,32,0.480300009
2,32,0.494500011
2,64,0.50029999
4,8,0.507099986
2,128,0.516900003
2,2,0.548200011
256,16,0.551999986
8,32,0.570200026
2,256,0.570800006
4,16,0.597299993
2,512,0.603100002
2,4096,0.672500014
8,64,0.685899973
4,64,0.688799977
2,1024,0.70480001
4,256,0.763800025
8,8,0.779600024
4,1024,0.793600023
4,2048,0.793600023
4,4096,0.800000012
4096,128,0.821699977
8,128,0.82190001
16,4,0.845200002
4,512,0.8574
16,16,0.863799989
8,4096,0.864199996
32,4,0.885900021
8,256,0.893899977
16,32,0.903999984
8,512,0.904200017
16,8,0.904900014
16,128,0.905499995
16,64,0.907400012
8,1024,0.911199987
8,2048,0.911899984
16,4096,0.917800009
32,64,0.917999983
32,16,0.91869998
32,8,0.919700027
16,256,0.924399972
16,512,0.933399975
32,128,0.933799982
16,2048,0.936500013
32,2048,0.93690002
32,4096,0.93720001
16,1024,0.938499987
32,256,0.939300001
1024,64,0.940999985
64,4096,0.942099988
32,32,0.943400025
32,512,0.943899989
32,1024,0.947099984
128,16,0.951699972
64,256,0.951799989
64,128,0.954100013
64,64,0.954200029
64,1024,0.956099987
64,16,0.956700027
512,256,0.959299982
128,1024,0.959999979
4096,1024,0.959999979
256,4096,0.960600019
128,4096,0.960699975
64,32,0.960799992
64,512,0.960900009
1024,1024,0.961799979
4096,4096,0.962000012
128,512,0.962100029
256,2048,0.962100029
1024,256,0.962100029
2048,128,0.962300003
64,2048,0.962499976
128,32,0.962499976
512,32,0.962599993
2048,4096,0.962800026
128,2048,0.963199973
128,256,0.963400006
1024,512,0.965300024
128,128,0.965600014
256,128,0.965600014
128,64,0.965799987
256,256,0.966899991
512,128,0.967499971
256,32,0.967700005
256,1024,0.967899978
512,1024,0.968800008
1024,2048,0.968900025
512,2048,0.968999982
2048,2048,0.969099998
4096,256,0.969099998
256,64,0.969200015
4096,512,0.969600022
2048,64,0.969799995
512,512,0.970000029
512,4096,0.970099986
1024,4096,0.970300019
2048,1024,0.970300019
2048,512,0.970899999
1024,128,0.971099973
256,512,0.971199989
2048,256,0.978299993
512,64,0.980600017
4096,2048,0.981000024
